正在启动 Julia 探测模块 ...
共检测到 200 个文件需要探测。
初始化防撞模块 STM & TRM...
加载推演剧本: D:/workforce/project/suma/suma/suma/example\AutoGen_Encounter_0001.json
[Time    3] 距离:7000 | 相高:  +0 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    4] 距离:7000 | 相高:  +0 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    5] 距离:7000 | 相高:  +0 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    6] 距离:7000 | 相高:+100 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    7] 距离:7000 | 相高:+100 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    8] 距离:6000 | 相高:+100 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    9] 距离:6000 | 相高:+100 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:95.0 => H:0 | V:0
[Time   10] 距离:6000 | 相高:+100 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:85.0 => H:0 | V:0
[Time   11] 距离:6000 | 相高:+100 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:75.0 => H:0 | V:0
[Time   12] 距离:6000 | 相高:+100 | 方位: +90° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:65.0 => H:0 | V:0
[Time   13] 距离:6000 | 相高:+100 | 方位:+120° | 航向差: -90° | 目标速:200 | 本机速:150 | 目标垂速:+20 | 本机垂:+20 | Tau:60.0 => H:0 | V:0
